Appointment_ID,Orders,MDL_No (from Orders),Order No.,Last Name,First Name,First_Last_Calculated,Firm,Attorney,Canonical_Name (from Attorney),Appoint,Remove,Interim,Appointment Types,Appointee Type,Plaintiff/Defendant
1431-16-1,1431-16,1431,1431-16,Zimmerman,Charles,Charles Zimmerman,ZIMMERMAN REED,1-Charles S. Zimmerman,Charles S. Zimmerman,checked,,,LeadCounsel,Individual,Plaintiff
1431-16-2,1431-16,1431,1431-16,Lockridge,Richard,Richard Lockridge,LOCKRIDGE GRINDAL NAUEN P.L.L.P.,2-Richard A. Lockridge,Richard A. Lockridge,checked,,,LeadCounsel,Individual,Plaintiff
1431-16-3,1431-16,1431,1431-16,Heins,Samuel,Samuel Heins,"HEINS MILLS & OLSON, P.L.C.",3-Samuel D. Heins,Samuel D. Heins,checked,,,Management,Individual,Plaintiff
1431-16-4,1431-16,1431,1431-16,Birchfield,Andy,Andy Birchfield,"BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.",4-Anthony D. Birchfield Jr,Anthony D. Birchfield Jr,checked,,,Management,Individual,Plaintiff
1431-16-5,1431-16,1431,1431-16,Barrett,Don,Don Barrett,BARRETT LAW OFFICE,5-John W. Barrett,John W. Barrett,checked,,,Management,Individual,Plaintiff
1431-16-6,1431-16,1431,1431-16,Branch,Turner,Turner Branch,BRANCH,6-Turner W. Branch,Turner W. Branch,checked,,,Management,Individual,Plaintiff
1431-16-7,1431-16,1431,1431-16,Cabraser,Elizabeth,Elizabeth Cabraser,"LIEF, CABRASER, HEIMANN & BERNSTEIN, LLP",7-Elizabeth J. Cabraser,Elizabeth J. Cabraser,checked,,,Management,Individual,Plaintiff
1431-16-8,1431-16,1431,1431-16,Chesley,Stanley,Stanley Chesley,"WAITE, SCHNEIDER, BAYLESS & CHESLEY CO., LPA",8-Stanley M. Chesley,Stanley M. Chesley,checked,,,Management,Individual,Plaintiff
1431-16-9,1431-16,1431,1431-16,Climaco,John,John Climaco,"CLIMACO, LEFKOWITZ, PECA, WILCOX & GAROFOLI CO., L.P.A.",9-John R. Climaco,John R. Climaco,checked,,,Management,Individual,Plaintiff
1431-16-10,1431-16,1431,1431-16,Dumas,Walter,Walter Dumas,DUMAS & ASSOCIATES,10-Walter C. Dumas,Walter C. Dumas,checked,,,Management,Individual,Plaintiff
1431-16-11,1431-16,1431,1431-16,Fox,Fredrick,Fredrick Fox,"KAPLAN, FOX & KILSHEIMER, LLP",11-Frederic S. Fox,Frederic S. Fox,checked,,,Management,Individual,Plaintiff
1431-16-12,1431-16,1431,1431-16,Gallagher,Michael,Michael Gallagher,"GALLAGHER, LEWIS, DOWNEY & KIM",12-Michael T. Gallagher,Michael T. Gallagher,checked,,,Management,Individual,Plaintiff
1431-16-13,1431-16,1431,1431-16,Geller,Paul,Paul Geller,"CAULEY GELLER BOWMAN & COATES, LLP",13-Paul J. Geller,Paul J. Geller,checked,,,Management,Individual,Plaintiff
1431-16-14,1431-16,1431,1431-16,Hildre,Don,Don Hildre,"DOUGHERTY, HILDRE, DUDEK & HAKLAR",14-Donald F. Hildre,Donald F. Hildre,checked,,,Management,Individual,Plaintiff
1431-16-15,1431-16,1431,1431-16,Dugan,James,James Dugan,"GAUTHIER, DOWNING, LABARRE, BEISER & DEAN",419-James R. Dugan II,James R. Dugan II,checked,,,Management,Individual,Plaintiff
1431-16-16,1431-16,1431,1431-16,Bencel,Daniel,Daniel Bencel,"LAW OFFICES OF DANIEL E. BECNEL, JR.",121-Daniel E. Becnel Jr.,Daniel E. Becnel Jr.,checked,,,Management,Individual,Plaintiff
1431-16-17,1431-16,1431,1431-16,Kemp,Will,Will Kemp,"HARRISON, KEMP & JONES",17-William S. Kemp,William S. Kemp,checked,,,Management,Individual,Plaintiff
1431-16-18,1431-16,1431,1431-16,Nast,Dianne,Dianne Nast,"RODA & NAST, P.C.",18-Dianne M. Nast,Dianne M. Nast,checked,,,Management,Individual,Plaintiff
1431-16-19,1431-16,1431,1431-16,Singleton,W.,W. Singleton,SINGLETON LAW FIRM,19-W. James Singleton,W. James Singleton,checked,,,Management,Individual,Plaintiff
1431-16-20,1431-16,1431,1431-16,Moll,Kenneth,Kenneth Moll,"KENNETH B. MOLL & ASSOCIATES, LTD.",20-Kenneth B. Moll,Kenneth B. Moll,checked,,,Management,Individual,Plaintiff
1431-16-21,1431-16,1431,1431-16,Larson,Dale,Dale Larson,LARSON•KING,21-Dale I. Larson,Dale I. Larson,checked,,,Communications,Individual,Plaintiff
1566-141-22,1566-141,1566,1566-141,Edelson,Marc,Marc Edelson,Hoffman & Edelson,22-Marc H. Edelson,Marc H. Edelson,checked,,,LeadCounsel,Individual,Plaintiff
1566-141-23,1566-141,1566,1566-141,Harper,Blake,Blake Harper,Hulett Harper & Stewart,23-Blake M. Harper,Blake M. Harper,checked,,,LeadCounsel,Individual,Plaintiff
1566-141-24,1566-141,1566,1566-141,Boni,Michael,Michael Boni,"Kohn, Swift & Graf, P.C.",24-Michael J. Boni,Michael J. Boni,checked,,,LeadCounsel,Individual,Plaintiff
1566-249-25,1566-249,1566,1566-249,Edelson,Marc,Marc Edelson,Hoffman & Edelson,22-Marc H. Edelson,Marc H. Edelson,checked,,,LeadCounsel,Individual,Plaintiff
1566-249-26,1566-249,1566,1566-249,Corbitt,Craig,Craig Corbitt,"Zelle, Hofmann, Veelbel, Mason & Gette LLP",25-Craig C. Corbitt,Craig C. Corbitt,checked,,,LeadCounsel,Individual,Plaintiff
1566-249-27,1566-249,1566,1566-249,Kupfer,Susan,Susan Kupfer,"Glancy, Binkow & Goldberg LLP",26-Susan G. Kupfer,Susan G. Kupfer,checked,,,LeadCounsel,Individual,Plaintiff
1570-248-28,1570-248,1570,1570-248,Motley,Ronald,Ronald Motley,Motley Rice LLC,27-Ronald L. Motley,Ronald L. Motley,checked,,,Management,Individual,Plaintiff
1570-248-29,1570-248,1570,1570-248,Kreindler,James,James Kreindler,Kreindler & Kreindler LLP,28-James P. Kreindler,James P. Kreindler,checked,,,Management,Individual,Plaintiff
1570-248-30,1570-248,1570,1570-248,Feldman,Elliot,Elliot Feldman,Cozen O'Connor,29-Elliot R. Feldman,Elliot R. Feldman,checked,,,Management,Individual,Plaintiff
1570-248-31,1570-248,1570,1570-248,Carter,Sean,Sean Carter,Cozen O'Connor,30-Sean P. Carter,Sean P. Carter,checked,,,Management,Individual,Plaintiff
