Order_No,MDL_No,Docket_No,MDL Type,Date,Judge,Judge_Type,Contested,Applications_Solicited,Resolve_Rule_23,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Order_Types,Rule_23,MCL,Notes,OU_Plaintiff,OU_Defendant,Appointments_Count
1431-16,1431,16,Products Liability,2002-02-01,MJD,DJ,checked,checked,,4,,checked,,,checked,"LeadCounsel,Management,Communications",,checked,Cites MCL 3d. Creates an Executive Committee within the PSC.,checked,checked,31
1566-141,1566,141,Antitrust,2005-02-23,PMP,,,,,1,,checked,,,checked,LeadCounsel,,,,checked,,3
1566-249,1566,249,Antitrust,2005-05-02,PMP,,,,,1,,checked,,,,LeadCounsel,,,,checked,,4
1570-248,1570,248,Common Disaster,2004-06-16,RCC,DJ,,,,3,0,checked,,,,"Communications,Management",,,Contemplates contributions toward an expense fund and directs counsel to propose contributions for the court's approval,checked,,25
1663-12,1663,12,Antitrust,2005-03-18,FSH,,,,,1,,checked,,,,Communications,,,,checked,checked,2
1663-182,1663,182,Antitrust,2005-08-05,PS,,,,,2,,,,,,Communications,,,Order entered by magistrate judge,checked,,2
1663-635,1663,635,Antitrust,2006-07-18,FSH,,,,,,,,,,,LeadCounsel,,,,checked,,2
1700-2,1700,2,Employment Practices ,2005-08-30,RLM,,,,,1,,,,,,Communications,,,,checked,,1
1700-52,1700,52,Employment Practices ,2005-08-15,CAN,,,,,3,,checked,,,,"LeadCounsel,Management,Communications",,,Entered by magistrate judge. Includes defendants' co-lead counsel and defendants' liaison counsel (not included in above counts and appointments not entered yet).,checked,,7
1663-118,1663,118,Antitrust,2005-05-25,FSH,DJ,checked,checked,,2,,checked,,,checked,"LeadCounsel,Management",,checked,,checked,,3
1720-278,1720,278,Antitrust,2006-02-24,JO,MJ,checked,checked,,1,,,,,,LeadCounsel,,,,checked,,3
1720-279,1720,279,Antitrust,2006-02-24,JO,MJ,,checked,,3,,checked,checked,,,"LeadCounsel,Communications",,,"This order memorializes the court's decision to appoint co-lead counsel, while also appointing liaison counsel, and specifies their respective duties. ",checked,,5
